municipality_number, postcode_number, postcode_supplement, pct_in_municipality
6616,1246,0,0.18
6619,1246,0,99.82
6602,1247,0,100
6625,1248,0,100
6624,1251,0,100
6629,1252,0,100
6642,1253,0,100
6624,1254,0,1.43
6626,1254,0,98.57
6641,1255,0,0.27
6645,1255,0,99.73
6628,1256,0,0.43
6633,1256,0,15.32
6641,1256,0,84.11
6645,1256,0,0.14
6605,1257,0,98.51
6633,1257,0,0.64
6641,1257,0,0.85
6605,1258,0,2.41
6632,1258,0,97.59
5724,1260,0,99.82
5725,1260,0,0.18
5430,1261,32,100
5731,1261,33,100
5429,1261,35,100
5716,1262,0,100
5714,1263,0,100
5702,1264,0,0.23
5727,1264,0,99.77
5727,1265,0,100
5715,1266,0,100
5732,1267,1,100
5710,1267,2,100
5704,1268,0,100
5853,1268,2,4.68
5854,1268,2,94.74
5863,1268,2,0.58
5703,1269,0,100
5730,1270,0,100
5720,1271,0,100
5718,1272,0,99.68
5720,1272,0,0.32
5702,1273,0,100
5728,1274,1,100
5722,1274,3,98.23
5728,1274,3,0.88
5730,1274,3,0.88
5709,1275,0,99.45
5726,1275,0,0.55
5709,1276,0,0.24
5719,1276,0,99.53
5727,1276,0,0.24
5701,1277,0,0.36
5706,1277,0,99.64
5701,1277,1,100
5726,1278,0,100
5707,1279,0,100
5705,1279,2,100
6637,1281,0,98.86
6638,1281,0,1.14
6620,1283,0,100
6620,1283,1,100
6611,1284,0,100
6604,1285,0,97.72
6611,1285,0,2.28
6607,1286,0,0.49
6639,1286,0,99.51
6627,1287,0,100
6601,1288,0,100
5723,1290,0,0.24
6615,1290,0,2.61
6622,1290,0,0.06
6644,1290,0,97.09
5708,1290,2,100
5711,1291,0,100
6621,1292,0,1.14
6634,1292,0,98.86
6606,1293,0,95.97
6622,1293,0,4.03
6606,1294,0,0.36
6622,1294,0,99.64
5723,1295,1,99.83
5729,1295,1,0.17
5729,1295,2,100
5712,1296,0,100
5712,1297,0,1.02
5717,1297,0,98.98
6610,1298,0,100
5713,1299,0,100
5503,1302,0,100
5496,1303,0,100
5477,1304,0,100
5481,1304,2,100
5477,1304,3,100
5499,1304,4,100
5495,1305,0,100
5471,1306,0,1.01
5480,1306,0,98.99
5487,1307,0,100
5474,1308,0,100
5482,1312,0,100
5483,1313,0,100
5498,1315,0,100
5474,1316,0,1.94
5476,1316,0,98.06
5493,1317,0,100
5497,1318,0,100
5743,1321,0,100
5752,1322,0,100
5761,1323,0,100
5759,1324,0,100
5491,1325,0,0.93
5765,1325,0,99.07
5754,1326,0,100
5748,1329,0,100
5764,1337,0,100
5744,1338,0,100
5872,1341,0,100
5871,1342,0,100
5873,1343,0,100
5871,1344,0,100
5873,1345,0,100
5873,1345,1,100
5871,1346,0,100
5872,1347,0,100
5872,1347,1,100
5872,1348,0,100
5757,1350,0,100
5742,1352,0,100
5747,1353,0,100
5756,1354,0,100
5741,1355,0,100
5762,1355,2,100
5750,1356,0,100
5750,1356,2,100
5755,1357,0,100
5763,1358,0,100
5493,1372,0,2.45
5746,1372,0,97.55
5749,1373,0,100
5749,1374,0,100
5531,1375,0,100
5541,1376,0,100
5541,1376,2,100
5541,1376,3,100
5529,1377,0,100
5938,1400,0,100
5909,1400,5,99.66
5911,1400,5,0.34
5911,1404,0,100
5935,1404,2,100
5926,1405,0,100
5910,1406,0,100
5913,1407,0,100
5903,1407,2,1.45
5913,1407,2,98.55
5913,1407,3,100
5903,1407,4,100
5913,1408,0,100
5693,1409,0,100
5693,1410,0,100
5693,1410,2,100
5693,1410,3,100
2038,1410,4,100
5693,1410,5,100
5934,1412,0,100
5932,1412,2,100
5925,1413,0,100
5921,1415,0,100
5912,1415,2,100
5530,1416,0,100
5520,1417,0,100
5520,1417,2,100
5539,1418,0,100
5556,1420,0,100
5557,1421,0,100
5560,1421,2,100
5561,1422,0,100
5571,1423,0,100
5551,1423,2,26
5571,1423,2,74
5571,1423,3,100
5571,1423,4,100
5553,1424,0,100
5565,1425,0,100
5554,1426,0,100
5555,1426,1,100
5551,1427,0,100
5554,1428,1,4.33
5566,1428,1,95.67
5563,1428,2,100
5559,1429,0,100
5924,1430,0,100
5937,1431,0,100
5564,1431,2,100
5902,1432,0,100
5934,1432,2,2
5938,1432,2,98
5929,1433,0,100
5914,1434,0,100
5749,1435,0,100
5931,1436,0,100
5904,1436,2,100
5930,1437,0,100
5919,1438,0,100
5760,1439,0,100
5933,1441,0,100
5922,1442,0,100
5905,1443,0,100
5905,1443,2,100
5905,1443,3,100
5568,1445,0,2.42
5766,1445,0,97.58
5745,1446,0,100
5568,1450,0,100
5568,1450,2,100
5568,1450,3,100
5552,1452,0,88.89
5568,1452,0,11.11
5552,1453,0,99.22
5556,1453,0,0.78
5557,1453,2,2.42
5562,1453,2,92.74
5571,1453,2,4.84
5568,1454,0,100
5568,1454,2,100
5939,1462,0,100
5928,1463,0,100
5907,1464,0,100
5908,1464,2,100
2055,1468,0,100
2054,1470,0,100
2025,1470,2,98.74
2054,1470,2,1.26
2025,1470,3,100
2025,1470,4,100
2054,1473,0,100
2008,1473,2,100
2055,1474,0,100
2054,1475,0,100
2054,1475,2,100
2054,1475,3,100
2011,1482,0,100
2025,1483,0,0.79
2050,1483,0,99.21
2050,1483,2,100
2011,1483,3,100
2050,1484,0,100
2050,1484,2,100
2035,1485,0,94.08
5831,1485,0,5.92
2054,1486,0,100
2054,1489,0,100
5692,1509,0,100
5678,1510,0,100
5688,1510,2,100
5665,1512,0,100
5673,1513,0,98.61
5785,1513,0,0.69
5798,1513,0,0.69
5684,1513,2,100
5663,1514,0,100
5690,1515,0,100
5693,1515,1,100
5669,1521,0,100
5675,1522,0,99.85
5831,1522,0,0.15
5675,1522,9,100
5831,1523,0,100
5831,1524,0,100
5819,1525,0,100
2044,1525,2,2.14
5831,1525,2,97.86
5675,1526,0,100
5675,1526,2,100
2044,1527,0,100
2044,1528,0,100
2044,1528,2,100
2009,1529,0,100
2054,1530,0,0.12
5822,1530,0,99.88
2016,1532,0,100
2027,1533,0,100
2050,1534,0,0.97
5831,1534,0,99.03
2009,1534,2,100
5831,1535,0,100
5831,1536,0,100
5812,1537,0,100
5828,1538,0,100
2054,1541,0,100
2054,1541,2,100
2043,1541,3,100
2054,1542,0,100
5817,1543,0,100
2022,1544,0,100
5813,1545,0,100
5822,1551,0,100
5827,1552,0,100
2068,1553,0,100
5830,1554,0,100
5830,1554,2,100
5830,1555,0,100
2029,1562,0,0.16
5816,1562,0,99.52
5822,1562,0,0.32
2053,1563,0,100
2053,1564,0,100
5821,1565,0,100
2045,1565,2,100
2041,1566,0,100
2041,1566,2,100
2051,1567,0,100
2051,1568,0,100
2053,1580,0,0.11
5451,1580,0,99.89
2053,1580,2,6.6
5451,1580,2,93.4
5451,1580,3,100
2254,1583,0,100
5464,1584,0,100
5464,1585,0,100
5464,1585,2,100
5464,1585,3,100
5464,1586,0,100
5464,1587,0,100
5464,1587,1,100
5456,1588,0,100
5464,1589,0,100
5458,1595,0,100
661,1595,2,100
5805,1607,0,100
5805,1607,1,100
5805,1607,3,100
5607,1607,4,12.33
5805,1607,4,87.67
5805,1608,0,100
5805,1608,2,100
5805,1608,3,100
2066,1608,4,100
2335,1609,0,100
2335,1609,2,100
2335,1609,3,100
5805,1610,0,100
5805,1610,1,100
5805,1610,2,100
2338,1611,0,100
2321,1612,0,0.66
5805,1612,0,99.34
5790,1613,0,100
2328,1614,0,97.27
5882,1614,0,2.73
2323,1615,0,100
2321,1616,0,100
2333,1617,0,100
2321,1617,2,100
2325,1618,0,99.92
2333,1618,0,0.08
2325,1619,0,100
2336,1623,0,100
2338,1624,0,100
2338,1624,2,100
2336,1624,3,1.41
2338,1624,3,98.59
2152,1625,0,100
2152,1625,2,100
2152,1626,0,100
2152,1626,2,100
2152,1626,3,100
2155,1627,0,99.31
2336,1627,0,0.69
2148,1628,0,0.44
2160,1628,0,99.56
2125,1630,0,100
2148,1632,0,100
2140,1633,0,100
2140,1633,2,100
2149,1634,0,100
2125,1635,0,96.7
2135,1635,0,2.85
2145,1635,0,0.46
2124,1636,0,98
2135,1636,0,2
2163,1637,0,100
2143,1638,0,100
2153,1642,0,100
2122,1643,0,100
2122,1644,0,100
2122,1645,0,100
2129,1646,0,1.38
2131,1646,0,98.62
2129,1647,0,100
2137,1648,0,100
2147,1649,0,100
2129,1651,0,100
2123,1652,0,100
2123,1652,2,100
2130,1653,2,100
2128,1653,3,100
2163,1654,0,100
2138,1656,0,100
2138,1656,1,100
791,1657,0,1.82
843,1657,0,98.18
5842,1658,0,100
5842,1658,2,100
5841,1659,0,0.16
5843,1659,0,99.84
5841,1659,2,23.56
5843,1659,2,76.44
5841,1660,0,100
5841,1660,2,100
5841,1660,3,100
5841,1660,4,100
2135,1661,0,0.28
2145,1661,0,99.72
2135,1663,0,100
2135,1663,2,100
2135,1663,3,100
2135,1663,4,100
2162,1665,0,100
2134,1666,0,100
2162,1666,2,100
2162,1667,0,100
2121,1669,0,100
2121,1669,2,100
2121,1669,3,100
2121,1669,4,100
2121,1669,5,100
2102,1670,0,100
2102,1670,2,100
2102,1670,3,100
2097,1673,0,100
2097,1673,2,100
2061,1673,3,100
2072,1673,4,100
2097,1673,5,100
2102,1674,0,100
2089,1674,2,100
2102,1674,3,100
2102,1675,0,100
2097,1675,2,96.97
2102,1675,2,3.03
2102,1675,3,100
2099,1676,0,100
2099,1677,0,100
2099,1678,0,100
2099,1679,0,100
2096,1680,0,99.18
2099,1680,0,0.12
2116,1680,0,0.7
2087,1680,2,100
2063,1681,0,100
2063,1681,2,100
5683,1682,0,100
5674,1682,2,100
5671,1682,3,100
5831,1682,4,100
5831,1682,5,100
5675,1683,0,100
5675,1683,2,100
5675,1683,3,100
2087,1684,0,100
2113,1685,0,100
2079,1686,0,100
2113,1686,2,100
2113,1687,0,100
2113,1687,2,100
2113,1687,3,100
2113,1688,0,100
2113,1688,2,100
2067,1689,0,100
2111,1690,0,97.07
2114,1690,0,2.93
2116,1690,2,100
2116,1691,0,100
2086,1692,0,100
2114,1694,0,100
2114,1694,2,100
2114,1694,3,100
2114,1694,4,100
2236,1695,0,100
2236,1695,2,100
2236,1695,3,100
2236,1695,4,100
2236,1696,0,100
2113,1697,0,100
2113,1697,2,100
2337,1699,0,100
2337,1699,2,100
2337,1699,3,100
2196,1700,0,96.32
2293,1700,0,0.59
2306,1700,0,3.1
2291,1712,0,8.11
2305,1712,0,0.12
2306,1712,0,91.76
2291,1713,0,4.21
2302,1713,0,93.57
2305,1713,0,0.67
2306,1713,0,1.55
2296,1714,0,71.61
2302,1714,0,28.39
2291,1715,0,95.91
2302,1715,0,3.16
2304,1715,0,0.93
2299,1716,0,100
2299,1716,2,100
2138,1716,3,0.54
2163,1716,3,0.18
2299,1716,3,99.28
2291,1717,0,0.81
2304,1717,0,99.19
2301,1718,0,92.84
2304,1718,0,7.16
2292,1719,0,98.8
2299,1719,0,1.2
2299,1719,2,100
2183,1720,0,100
2183,1720,2,100
2272,1721,1,98.85
5451,1721,1,1.15
2272,1721,2,100
2272,1721,4,100
2272,1721,5,100
2196,1722,0,100
2206,1723,0,100
2230,1723,3,100
2216,1723,4,100
2220,1724,0,99.75
2226,1724,0,0.25
2220,1724,2,98.98
2226,1724,2,1.02
2194,1724,3,100
2220,1724,4,100
2220,1724,5,100
2225,1724,6,97.92
2226,1724,6,2.08
2220,1724,7,100
2220,1724,8,96.41
2303,1724,8,3.59
2171,1725,0,1.42
2233,1725,0,98.58
2236,1726,0,100
2236,1726,2,100
2236,1726,3,100
2236,1726,4,100
2236,1727,0,100
2236,1727,2,100
2236,1728,0,100
2233,1730,0,100
2189,1731,0,100
2171,1732,0,100
2149,1733,0,0.23
2226,1733,0,99.77
2303,1734,0,0.5
2307,1734,0,99.5
2294,1735,0,99.4
2301,1735,0,0.6
2303,1736,0,100
2300,1737,0,100
852,1738,0,79.5
853,1738,0,14
2299,1738,0,6.5
2211,1740,0,100
2186,1741,0,100
2173,1742,0,100
2177,1744,0,100
2173,1745,0,4.47
2234,1745,0,95.53
2221,1746,0,100
2185,1747,0,100
2115,1748,0,100
2115,1749,0,100
2228,1752,0,100
2183,1753,0,2.51
2208,1753,0,97.49
2174,1754,2,100
2174,1754,4,100
2234,1756,0,100
2234,1756,2,100
2213,1757,0,100
2197,1762,0,100
2198,1763,0,100
2200,1772,0,100
2217,1772,1,100
2217,1772,2,100
2053,1773,0,100
2053,1773,2,100
2053,1773,3,100
2029,1774,0,100
2029,1774,2,100
2029,1775,2,100
2029,1775,3,100
2029,1776,0,98.59
2053,1776,0,1.41
2175,1782,0,100
2175,1782,2,100
2235,1782,3,100
2235,1782,4,100
2235,1782,5,100
2235,1782,6,100
2254,1783,0,100
2254,1783,4,100
2254,1784,0,100
2254,1784,3,100
2257,1785,0,100
2284,1786,0,100
2284,1787,0,100
2284,1787,1,100
5464,1787,2,100
2284,1788,0,100
2284,1789,0,100
2254,1791,0,100
2262,1792,0,100
2262,1792,2,100
2275,1793,0,100
2275,1794,0,100
2275,1795,0,100
2250,1796,0,100
669,1797,0,100
5890,1800,0,100
5882,1801,0,100
5883,1802,0,100
5882,1803,0,99.82
5885,1803,0,0.18
5884,1804,0,98.97
5885,1804,0,1.03
5882,1805,0,0.79
5884,1805,0,0.2
5885,1805,0,99.01
5888,1806,0,100
5881,1807,0,98.38
5886,1807,0,1.62
2321,1808,0,1.34
5884,1808,0,98.66
5884,1809,0,100
5889,1814,0,100
5886,1815,0,100
5881,1816,0,4.15
5886,1816,0,95.85
5886,1817,0,100
5886,1820,0,100
5886,1820,5,100
5891,1820,6,100
5886,1822,0,100
5886,1823,0,100
5886,1824,0,100
5886,1832,0,100
5886,1832,2,100
5886,1833,0,100
5414,1844,0,100
5408,1845,0,100
5403,1846,0,99.3
5415,1846,0,0.7
5412,1847,0,100
5413,1852,0,99.45
5415,1852,0,0.55
5415,1853,0,100
5407,1854,0,100
5404,1856,0,100
5401,1860,0,99.94
5409,1860,0,0.06
5410,1862,0,100
5410,1862,2,100
5401,1863,0,0.24
5410,1863,0,99.76
5411,1864,0,100
5411,1865,0,100
5409,1866,0,1.03
5410,1866,0,98.62
5411,1866,0,0.34
5409,1867,0,100
5409,1867,2,100
5409,1867,3,100
6152,1868,0,100
6215,1869,0,100
6153,1870,0,100
6153,1871,0,100
6153,1871,2,95.7
6215,1871,2,4.3
6152,1872,0,0.59
6156,1872,0,99.41
6157,1873,0,100
6157,1873,2,100
6157,1873,3,100
6151,1874,0,100
6156,1875,0,100
5402,1880,0,99.94
5409,1880,0,0.06
5402,1880,2,94.74
5405,1880,2,5.26
5402,1880,3,100
5402,1880,4,100
5402,1880,5,96.51
5405,1880,5,3.49
5402,1882,0,7.9
5405,1882,0,92.1
5409,1884,0,100
5409,1884,2,100
5409,1884,3,100
5409,1885,0,100
6217,1890,0,100
6217,1890,1,100
6215,1891,11,0.87
6220,1891,11,99.13
5406,1892,0,100
5406,1892,1,100
5406,1892,2,100
6152,1893,0,100
6158,1895,0,100
6159,1896,0,100
6159,1896,2,100
6154,1897,0,100
6154,1897,3,100
6155,1898,0,100
6158,1899,0,100
6213,1902,0,94.9
6217,1902,0,5.1
6211,1903,0,100
6136,1904,0,5.33
6219,1904,0,94.67
6212,1905,0,100
6132,1906,0,99.19
6136,1906,0,0.81
6141,1907,0,100
6139,1908,0,100
6135,1911,0,100
6022,1911,2,100
6135,1912,0,100
6135,1912,2,100
6135,1912,3,100
6135,1912,4,100
6140,1913,0,100
6134,1914,0,100
6139,1914,2,100
6139,1918,0,100
6136,1920,0,98.29
6219,1920,0,1.71
6137,1921,0,100
6218,1922,0,100
6218,1922,1,100
6218,1923,0,100
6218,1923,2,100
6214,1925,0,100
6214,1925,1,100
6133,1926,0,100
6036,1927,0,58.57
6131,1927,0,10.76
6136,1927,0,30.68
6137,1928,0,100
6142,1929,0,100
6131,1932,0,98.04
6137,1932,0,1.96
6131,1932,2,100
6035,1933,0,90.38
6036,1933,0,9.62
6036,1933,2,100
6035,1933,3,100
6035,1933,4,100
6031,1934,0,100
6031,1934,1,100
6031,1936,0,100
6034,1937,0,100
6034,1938,0,100
6036,1941,0,100
6036,1941,2,100
6036,1942,0,100
6034,1943,0,100
6034,1944,0,100
6033,1945,0,100
6033,1945,2,100
6033,1945,3,100
6033,1945,4,100
6033,1945,5,100
6033,1945,6,100
6033,1945,7,100
6033,1945,8,100
6033,1945,9,100
6033,1945,10,100
6033,1945,11,100
6033,1945,12,100
6032,1946,0,100
6031,1947,0,100
6031,1947,5,100
6031,1948,0,100
6031,1948,1,100
6031,1948,2,100
6263,1950,0,0.29
6265,1950,0,0.51
6266,1950,0,99.2
6022,1955,0,100
6022,1955,2,100
6022,1955,3,100
6022,1955,4,100
6022,1955,5,100
6021,1957,0,100
6246,1958,0,99.85
6248,1958,0,0.15
6082,1958,2,1.51
6266,1958,2,98.49
6090,1961,0,100
6265,1962,0,23.68
6266,1962,0,76.32
6025,1963,0,100
6023,1964,0,100
6265,1965,2,100
6265,1965,3,100
6265,1965,4,100
6265,1965,5,99.68
6266,1965,5,0.32
6265,1965,6,100
6265,1965,7,100
6265,1965,8,100
6265,1965,9,100
6265,1965,10,100
6265,1965,11,100
6082,1966,2,100
6082,1966,3,100
6082,1966,4,100
6082,1966,5,100
6082,1966,6,100
6082,1966,7,100
6082,1966,8,100
6082,1966,9,100
