number, supplement, name
1228,0,Plan-les-Ouates
1231,0,Conches
1231,0,Conches
1232,0,Confignon
1232,0,Confignon
1233,0,Bernex
1234,0,Vessy
1236,0,Cartigny
1236,0,Cartigny
1236,0,Cartigny
1236,0,Cartigny
1237,0,Avully
1237,0,Avully
1239,0,Collex
1241,0,Puplinge
1242,0,Satigny
1243,0,Presinge
1244,0,Choulex
1245,0,Collonge-Bellerive
1246,0,Corsier GE
1246,0,Corsier GE
1247,0,Anières
1248,0,Hermance
1251,0,Gy
1252,0,Meinier
1253,0,Vandoeuvres
1254,0,Jussy
1254,0,Jussy
1255,0,Veyrier
1255,0,Veyrier
1256,0,Troinex
1256,0,Troinex
1256,0,Troinex
1256,0,Troinex
1257,0,La Croix-de-Rozon
1257,0,La Croix-de-Rozon
1257,0,La Croix-de-Rozon
1258,0,Perly
1258,0,Perly
1260,0,Nyon
1260,0,Nyon
1261,32,Marchissy
1261,33,Le Vaud
1261,35,Longirod
1262,0,Eysins
1263,0,Crassier
1264,0,St-Cergue
1264,0,St-Cergue
1265,0,La Cure
1266,0,Duillier
1267,1,Vich
1267,2,Coinsins
1268,0,Begnins
1268,2,Burtigny
1268,2,Burtigny
1268,2,Burtigny
1269,0,Bassins
1270,0,Trélex
1271,0,Givrins
1272,0,Genolier
1272,0,Genolier
1273,0,Arzier-Le Muids
1274,1,Signy
1274,3,Grens
1274,3,Grens
1274,3,Grens
1275,0,Chéserex
1275,0,Chéserex
1276,0,Gingins
1276,0,Gingins
1276,0,Gingins
1277,0,Borex
1277,0,Borex
1277,1,Arnex-sur-Nyon
1278,0,La Rippe
1279,0,Chavannes-de-Bogis
1279,2,Bogis-Bossey
1281,0,Russin
1281,0,Russin
1283,0,La Plaine
1283,1,Dardagny
1284,0,Chancy
1285,0,Athenaz (Avusy)
1285,0,Athenaz (Avusy)
1286,0,Soral
1286,0,Soral
1287,0,Laconnex
1288,0,Aire-la-Ville
1290,0,Versoix
1290,0,Versoix
1290,0,Versoix
1290,0,Versoix
1290,2,Chavannes-des-Bois
1291,0,Commugny
1292,0,Chambésy
1292,0,Chambésy
1293,0,Bellevue
1293,0,Bellevue
1294,0,Genthod
1294,0,Genthod
1295,1,Mies
1295,1,Mies
1295,2,Tannay
1296,0,Coppet
1297,0,Founex
1297,0,Founex
1298,0,Céligny
1299,0,Crans-près-Céligny
1302,0,Vufflens-la-Ville
1303,0,Penthaz
1304,0,Cossonay-Ville
1304,2,Dizy
1304,3,Allens
